Fri May  9 12:38:24 2025,192.168.42.177,100
Fri May  9 12:38:34 2025,192.168.42.177,1
Fri May  9 12:39:14 2025,192.168.42.177,2
Fri May  9 12:51:18 2025,192.168.42.177,4
Fri May  9 12:51:28 2025,192.168.42.177,100
Fri May  9 12:51:38 2025,192.168.42.177,4
Fri May  9 12:51:58 2025,192.168.42.177,4
